request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,14063914.46,not_affordable,not_recommended,none,,none,IDR 15656000: no eligible plan certified by 2025-10-07 while protecting minimum 24768300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,ZAR 6670 via full_payment; payments finish 2026-07-05; minimum 20500 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_28,269.54,affordable_later,wait,2024-08-15:1302.4,2024-08-15,none,EUR 1302.4 via wait; payments finish 2024-08-15; minimum 1100 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_29,0.00,not_affordable,not_recommended,none,,none,ZAR 51524: no eligible plan certified by 2025-11-23 while protecting minimum 28300 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_30,169.50,not_affordable,not_recommended,none,,none,USD 775.2: no eligible plan certified by 2026-06-06 while protecting minimum 900 over 90 days.
request_31,2523237.92,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,IDR 18164000 via wait; payments finish 2024-11-15; minimum 16588900 protected over 90 days.
request_32,0.00,not_affordable,not_recommended,none,,none,ZAR 40018: no eligible plan certified by 2025-04-15 while protecting minimum 35700 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_33,25994.91,not_affordable,not_recommended,none,,none,INR 118000: no eligible plan certified by 2026-03-15 while protecting minimum 102100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_34,58183.25,not_affordable,not_recommended,none,,none,INR 129400: no eligible plan certified by 2025-01-28 while protecting minimum 138500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_35,25867.65,not_affordable,not_recommended,none,2026-01-15,none,INR 212000: no eligible plan certified by 2026-01-15 while protecting minimum 106400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_36,542.80,not_affordable,not_recommended,none,,none,USD 3954: no eligible plan certified by 2026-09-15 while protecting minimum 2400 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_37,3352452.42,not_affordable,not_recommended,none,,none,IDR 14649000: no eligible plan certified by 2024-05-15 while protecting minimum 17056200 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_38,155.71,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,EUR 971.3 via wait; payments finish 2025-10-15; minimum 400 protected over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_39,44446.32,affordable_later,wait,2026-06-15:208600,2026-06-15,none,INR 208600 via wait; payments finish 2026-06-15; minimum 213400 protected over 90 days.
request_40,0.00,not_affordable,not_recommended,none,,none,EUR 1290.3: no eligible plan certified by 2024-08-15 while protecting minimum 1500 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_41,6275528.67,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,IDR 38760000 via wait; payments finish 2026-01-15; minimum 25366600 protected over 90 days.
request_42,16575.60,not_affordable,not_recommended,none,,none,INR 52100: no eligible plan certified by 2026-03-15 while protecting minimum 113100 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_43,0.00,not_affordable,not_recommended,none,,none,IDR 43339000: no eligible plan certified by 2024-11-15 while protecting minimum 21398000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_44,0.00,not_affordable,not_recommended,none,,none,INR 95800: no eligible plan certified by 2025-04-15 while protecting minimum 82900 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_45,3563105.12,not_affordable,not_recommended,none,,none,IDR 21983000: no eligible plan certified by 2026-09-15 while protecting minimum 11149800 over 90 days. Unresolved evidence excluded; structured-data forecast only.
request_46,29076.28,affordable_with_plan,partial_payment,2024-12-03:29076.28|2024-12-15:20373.72,2024-12-15,none,INR 49450 via partial_payment; payments finish 2024-12-15; minimum 84000 protected over 90 days.
request_47,1116221.95,not_affordable,not_recommended,none,,none,IDR 38114000: no eligible plan certified by 2025-06-19 while protecting minimum 30049000 over 90 days. Unresolved evidence excluded; structured-data forecast only.
